sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
900,UP-GRADATION TO FOUR LANE/ TWO LANE WITH PAVED SHOULDERS CONFIGURATION OF KALYAN - MURBAD - MALSHEJ,MoRTH,N24002174,,,,2-2023,8/2026,N.A.,984.07,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
901,CONSTRUCTION OF FOUR-LANE CONCRETE ROAD FROM POLICE HEADQUARTER GONDIA CITY TO RAWANWADI VILLAGE (BI,MoRTH,N24002175,,,,2-2023,8/2025,N.A.,328.11,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
902,REHABILITATION/UP GRADATION OF KARANJA ? KHERDA - MURTIZAPUR SECTION TO 4LANE+PAVED SHOULDER STANDA,MoRTH,N24002176,,,,3-2023,2/2026,N.A.,594.44,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
903,REHABILITATION / UPGRADATION TO 4 LANE WITH PAVED SHOULDER OF EXISTING SECTION IN SILLOD TOWN WITH D,MoRTH,N24002177,,,,3-2023,7/2025,N.A.,153.79,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
904,"REHABILITATION, UPGRADATION AND WIDENING OF EXISTING HIGHWAY TO RIGID PAVEMENT 2 LANE WITH PAVED SHO",MoRTH,N24002178,,,,2-2023,7/2026,N.A.,723.13,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
905,"CONSTRUCTION OF FLYOVER AT KM.544.650 INCLUDING ROB ,SERVICE ROADS ,FOOTPATH FOR RCC DRAINS ON URBAN",NHAI,N24000442,,,,12-2015,3/2019,Nov-2023,649.50,N.A.,623.82,94.10,2025-06,FR_JUNE_2025.pdf
906,NAGPUR RING ROAD PACKAGE-2,NHAI,N24000560,,,,3-2016,7/2019,Mar-2024,591.66,N.A.,632.92,100.00,2025-06,FR_JUNE_2025.pdf
907,4-LANNING OF NH17 AND NEW NO. NH66 FROM KM 161/600 TO 205/400 UNDER HYBRID ANNUITY MODE,MoRTH,N24000584,,,,3-2016,N.A.,12/2023,1142.62,1907.03,1056.08,95.17,2025-06,FR_JUNE_2025.pdf
908,4-LANNING OF NH17 AND NEW NO. NH66 FROM KM 241/300 TO 281/300 UNDER HYBRID ANNUITY MODE,MoRTH,N24000585,,,,3-2016,N.A.,,1101.58,N.A.,608.53,,2025-06,FR_JUNE_2025.pdf
909,4-LANNING OF BODHRE-DHULE SECTION(KM 390.000 TO 452.800),NHAI,N24000656,,,,3-2017,3/2020,Jul-2022,744.64,N.A.,467.65,97.69,2025-06,FR_JUNE_2025.pdf
910,CONSTRUCTION OF 8 LANING OF EXISTING 4 LANE VADAPE TO THANE FROM KM 539.202 TO KM 563.000 SECTION OF,NHAI,N24000851,,,,3-2018,7/2021,N.A.,1162.92,1182.87,412.38,64.00,2025-06,FR_JUNE_2025.pdf
911,SARSAM TO KOTHARI,MoRTH,N24001002,,,,2-2016,7/2019,N.A.,545.64,N.A.,232.64,93.68,2025-06,FR_JUNE_2025.pdf
912,DIGRAS DARWAH KARANJA,MoRTH,N24001013,,,,1-2017,6/2019,N.A.,391.06,391.00,287.60,92.76,2025-06,FR_JUNE_2025.pdf
913,DAHEGAON TO KUHI,MoRTH,N24001017,,,,1-2017,6/2019,N.A.,228.89,229.00,154.82,99.00,2025-06,FR_JUNE_2025.pdf
914,WADI TO ASOLA,MoRTH,N24001022,,,,1-2017,9/2019,N.A.,363.82,364.00,154.65,93.15,2025-06,FR_JUNE_2025.pdf
915,VITA TO NAGAJ,MoRTH,N24001050,,,,3-2018,12/2019,N.A.,304.58,305.00,154.68,68.39,2025-06,FR_JUNE_2025.pdf
916,KARAD PATAN CHIPLUN GUHAGAR,MoRTH,N24001057,,,,2-2017,6/2019,N.A.,407.19,407.00,323.02,,2025-06,FR_JUNE_2025.pdf
917,KARWANDI TO RAJURI,MoRTH,N24001058,,,,3-2018,12/2019,N.A.,276.95,277.00,160.94,92.06,2025-06,FR_JUNE_2025.pdf
918,PALPHATA TO PHULAMBARI,MoRTH,N24001060,,,,3-2018,12/2019,N.A.,227.19,227.00,141.92,95.00,2025-06,FR_JUNE_2025.pdf
919,NANDED TO JALKOT,MoRTH,N24001069,,,,12-2017,9/2019,N.A.,456.93,457.00,278.22,95.00,2025-06,FR_JUNE_2025.pdf
920,PUNE RAIGARH DISTRICT BORDER TO MANGAON,MoRTH,N24001082,,,,3-2018,12/2019,N.A.,223.46,N.A.,123.46,100.00,2025-06,FR_JUNE_2025.pdf
921,SATARA TO MHASWAD,MoRTH,N24001092,,,,1-2017,7/2019,N.A.,653.46,N.A.,369.62,,2025-06,FR_JUNE_2025.pdf
922,MHASWAD TO TEMBHURNI,MoRTH,N24001099,,,,1-2017,7/2019,N.A.,488.60,N.A.,279.42,76.50,2025-06,FR_JUNE_2025.pdf
923,PEN TO KHOPOLI,MoRTH,N24001106,,,,3-2018,3/2018,N.A.,301.39,302.00,170.12,82.07,2025-06,FR_JUNE_2025.pdf
924,PANCHARAL TO MANDANGHAR,MoRTH,N24001107,,,,7-2018,5/2020,N.A.,381.08,302.00,45.66,,2025-06,FR_JUNE_2025.pdf
925,NASRATPUR TO BARASGAON,MoRTH,N24001112,,,,7-2016,9/2019,N.A.,406.54,407.00,274.30,,2025-06,FR_JUNE_2025.pdf
926,INDAPUR TO VADPALE,MoRTH,N24001114,,,,1-2017,12/2019,N.A.,1202.52,1656.94,1450.82,61.42,2025-06,FR_JUNE_2025.pdf
927,PAITHAN TO SHIRUR,MoRTH,N24001122,,,,3-2017,6/2019,N.A.,341.80,N.A.,226.19,79.00,2025-06,FR_JUNE_2025.pdf
928,SHIRUR TO KHARDA,MoRTH,N24001123,,,,2-2017,6/2019,N.A.,381.77,N.A.,199.48,83.93,2025-06,FR_JUNE_2025.pdf
929,AURANGABAD TO SILLOD,MoRTH,N24001124,,,,2-2017,6/2019,N.A.,456.32,541.93,355.54,94.07,2025-06,FR_JUNE_2025.pdf
930,SILLOD TO FARDAPUR,MoRTH,N24001125,,,,2-2017,6/2019,N.A.,337.46,432.98,335.30,91.56,2025-06,FR_JUNE_2025.pdf
931,BHOGAN KHURD TO KASHEDI,MoRTH,N24001132,,,,9-2017,6/2021,N.A.,743.21,743.00,911.64,88.69,2025-06,FR_JUNE_2025.pdf
932,KANTE TO WAKED,MoRTH,N24001134,,,,3-2016,11/2019,N.A.,1230.02,1230.00,791.80,,2025-06,FR_JUNE_2025.pdf
933,MUMBAI METRO LINE 3 (COLABA- BANDRA-SEEPZ),MMRCL,N28000086,,,,7-2013,3/2020,Jul-2025,23136.00,N.A.,28615.78,94.77,2025-06,FR_JUNE_2025.pdf
934,NAGPUR METRO RAIL PROJECT PHASE II,NMRCL,N28000155,,,,12-2022,12/2027,N.A.,6708.00,N.A.,895.38,23.82,2025-06,FR_JUNE_2025.pdf
935,PCMC NIGDI PROJECT EXTENSION OF CORRIDOR 1 OF PUNE METRO PHASE 1,MMRC,N28000157,,,,10-2023,1/2027,N.A.,910.18,N.A.,103.13,19.08,2025-06,FR_JUNE_2025.pdf
936,PUNE METRO PHASE-1 EXTENSION FROM SWARGATE TO KATRAJ,MMRC,N28000160,,,,9-2024,3/2029,N.A.,2954.53,N.A.,17.35,2.91,2025-06,FR_JUNE_2025.pdf
937,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, CONTROL TOWER CUM TECHNICAL BLOCK, APRON, LINK TAX",AAI,N04000100,,,,11-2021,7/2024,Dec-2025,499.00,N.A.,154.47,40.82,2025-06,FR_JUNE_2025.pdf
938,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),NFR,220100288,,,,4-2003,12/2026,Mar-2028,14322.79,12274.06,15485.02,69.20,2025-06,FR_JUNE_2025.pdf
939,TAMENGLONG - MAHUR PKG-5,NHIDCL,N24001436,,,,8-2021,5/2023,Jan-2025,477.86,N.A.,246.09,84.87,2025-06,FR_JUNE_2025.pdf
940,TAMENGLONG - MAHUR PKG-6,NHIDCL,N24001437,,,,9-2021,5/2023,Nov-2024,311.18,N.A.,190.96,83.78,2025-06,FR_JUNE_2025.pdf
941,MARAM - PEREN PKG-3,NHIDCL,N24001439,,,,8-2021,5/2023,Oct-2024,467.41,N.A.,264.83,100.00,2025-06,FR_JUNE_2025.pdf
942,IMPHAL - KHONGSANG PKG-4,NHIDCL,N24001453,,,,8-2021,12/2023,Jul-2025,579.63,N.A.,180.72,72.50,2025-06,FR_JUNE_2025.pdf
943,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,NHIDCL,N24001473,,,,9-2021,2/2024,Mar-2025,310.76,N.A.,129.15,96.77,2025-06,FR_JUNE_2025.pdf
944,IMPHAL - KHONGSANG PKG-5,NHIDCL,N24001538,,,,12-2021,5/2024,Jan-2026,410.68,N.A.,152.34,70.11,2025-06,FR_JUNE_2025.pdf
945,IMPHAL - KHONGSANG PKG-6,NHIDCL,N24001539,,,,12-2021,2/2025,Sep-2025,504.76,N.A.,190.26,78.25,2025-06,FR_JUNE_2025.pdf
946,AKASH BRIDGE - JESSAMI SECTION PKG-2,NHIDCL,N24001540,,,,3-2022,2/2025,Feb-2025,152.11,N.A.,73.48,100.00,2025-06,FR_JUNE_2025.pdf
947,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,NHIDCL,N24001974,,,,9-2021,1/2025,Aug-2025,315.56,N.A.,137.81,88.74,2025-06,FR_JUNE_2025.pdf
948,LMPHAL TO JIRIBAM PKG-7,NHIDCL,N24002028,,,,1-2023,12/2025,Dec-2025,760.16,N.A.,157.48,62.92,2025-06,FR_JUNE_2025.pdf
949,UKHRUL TOLOI TADUBI PKG-2,NHIDCL,N24002131,,,,3-2023,2/2026,Mar-2026,578.98,N.A.,153.92,71.25,2025-06,FR_JUNE_2025.pdf
950,MARREM KHULLEN TO JESSAMI SECTION IMPHAL- UKHRUL - JESSAMI PKG-6 (DESIGN CHAINAGE KM 95.700 TO KM 14,NHIDCL,N24002202,,,,3-2023,12/2026,N.A.,554.66,N.A.,17.79,15.00,2025-06,FR_JUNE_2025.pdf
951,IMPHAL-KOHIMA ROAD PKG-4B,NHIDCL,N24002203,,,,9-2020,6/2026,N.A.,268.98,N.A.,13.14,18.04,2025-06,FR_JUNE_2025.pdf
952,JESSAMI TO LAYNEN BRIDGE UKHRUL - JESSAMI PKG-7,NHIDCL,N24002227,,,,3-2023,6/2026,N.A.,164.89,N.A.,3.83,9.78,2025-06,FR_JUNE_2025.pdf
953,IMPHAL-KOHIMA ROAD PKG-5A,NHIDCL,N24002232,,,,9-2020,8/2026,N.A.,228.97,N.A.,0.00,10.13,2025-06,FR_JUNE_2025.pdf
954,CHOITHAR TO MARREM KHULLEN SECTION IMPHAL- UKHRUL - JESSAMI PKG-5,NHIDCL,N24002242,,,,3-2023,3/2027,N.A.,564.05,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
955,IMPHAL - KHONGSANG - JIRIBAM PKG- 2,NHIDCL,N24002244,,,,3-2021,3/2026,N.A.,195.14,N.A.,4.42,11.53,2025-06,FR_JUNE_2025.pdf
956,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2A),NHIDCL,N24001270,,,,3-2020,6/2022,Jun-2025,292.24,N.A.,130.66,90.69,2025-06,FR_JUNE_2025.pdf
957,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2B),NHIDCL,N24001271,,,,6-2020,8/2022,Jun-2025,365.53,N.A.,156.31,77.69,2025-06,FR_JUNE_2025.pdf
958,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI,NHIDCL,N24001274,,,,8-2020,4/2022,Jun-2025,379.39,N.A.,218.03,70.94,2025-06,FR_JUNE_2025.pdf
959,MARIAM - PEREN PKG-1A,NHIDCL,N24001349,,,,2-2021,12/2022,Mar-2025,226.32,N.A.,105.78,74.48,2025-06,FR_JUNE_2025.pdf
960,MARIAM - PEREN (PKG 1B),NHIDCL,N24001350,,,,2-2021,12/2022,Jan-2025,188.36,N.A.,126.71,99.02,2025-06,FR_JUNE_2025.pdf
961,TAMENGLONG - MAHUR PKG-3,NHIDCL,N24001354,,,,3-2021,12/2022,Sep-2024,234.08,N.A.,139.45,92.82,2025-06,FR_JUNE_2025.pdf
962,SENAPATI- IMPHAL PKG-5B,NHIDCL,N24001400,,,,3-2021,1/2023,May-2025,211.70,N.A.,83.79,71.06,2025-06,FR_JUNE_2025.pdf
963,IMPHAL - KHONGSANG PKG-3,NHIDCL,N24001401,,,,7-2021,3/2023,Mar-2025,467.00,N.A.,193.81,79.81,2025-06,FR_JUNE_2025.pdf
964,TAMENGLONG - MAHUR PKG-1,NHIDCL,N24001402,,,,7-2021,3/2023,Jan-2025,185.80,N.A.,117.78,100.00,2025-06,FR_JUNE_2025.pdf
965,TAMENGLONG - MAHUR PKG-2,NHIDCL,N24001403,,,,7-2021,3/2023,Jan-2025,483.87,N.A.,278.89,92.94,2025-06,FR_JUNE_2025.pdf
966,TAMENGLONG - MAHUR PKG-4,NHIDCL,N24001404,,,,7-2021,3/2023,Feb-2025,198.77,N.A.,127.86,100.00,2025-06,FR_JUNE_2025.pdf
967,CHURACHANPUR TUIVAI PKG-3,NHIDCL,N24001405,,,,7-2021,10/2023,Mar-2025,673.27,N.A.,382.37,80.28,2025-06,FR_JUNE_2025.pdf
968,CONSTRUCTION AND DEVELOPMENT OF NATINAL INSTITUTE OF TECHNOLOGY MEGHALAYA PERMANENT CAMPUS AT SOHRA,RITES OF HIGHER,N42000001,,,,9-2013,9/2014,Jul-2025,484.32,429.70,270.55,84.00,2025-06,FR_JUNE_2025.pdf
969,REHABILITATION AND UPGRADATION OF NONGSTOIN TO WAHKAJI SECTION OF PROJECT ROAD KM 0.000 TO KM 43.06,MoRTH,N24001441,,,,8-2020,2/2022,N.A.,302.88,N.A.,228.68,96.00,2025-06,FR_JUNE_2025.pdf
970,REHABITITATION AND UP GRADATION OF NONGSTOIN-RAMBRAI-KYRSHAI ROAD UP TO MEGHALAYA-ASSAM BORDER FROM,NHIDCL,N24001474,,,,9-2021,5/2024,May-2026,359.86,N.A.,233.26,60.81,2025-06,FR_JUNE_2025.pdf
971,RANIKOR- MAHESHKHOLA- BAGHMARA PKG-2,NHIDCL,N24001541,,,,11-2021,6/2024,Dec-2024,283.50,N.A.,257.26,100.00,2025-06,FR_JUNE_2025.pdf
972,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM,NHIDCL,N24002156,,,,3-2023,9/2026,N.A.,620.30,N.A.,222.26,30.00,2025-06,FR_JUNE_2025.pdf
973,SHILLONG WESTERN BYPASS PACKAGE-2,NHIDCL,N24002157,,,,3-2023,9/2026,N.A.,686.00,N.A.,293.36,25.52,2025-06,FR_JUNE_2025.pdf
974,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU,NHIDCL,N24002158,,,,3-2023,9/2026,N.A.,562.48,N.A.,297.91,25.27,2025-06,FR_JUNE_2025.pdf
975,DAINADUBI-DARUGIRI PKG-1B,NHIDCL,N24002233,,,,3-2023,3/2027,N.A.,705.83,N.A.,0.32,2.13,2025-06,FR_JUNE_2025.pdf
976,IMPROVEMENT AND WIDENING TWO LANNIG WITH PAVED SHOULDER OF NATIONAL HIGHWAY 127B FROM KM 31.500 (GOE,MoRTH,N24002239,,,,12-2023,5/2027,N.A.,504.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
977,WIDENING TO 2-LANE WITH GEOMETRIC IMPROVEMENTS OF TURA DALU ROAD UNDER JICA FUNDING FROM KM 85.000 T,NHIDCL,N24000771,,,,4-2017,9/2021,Jun-2025,553.51,610.09,438.16,88.07,2025-06,FR_JUNE_2025.pdf
978,IMPROVEMENT/WIDENING TO 2-L WITH PAVED SHOULDER FROM (DESIGN KM 0.00 TO KM 10.670) / 4-LANING FROM (,NHIDCL,N24001313,,,,11-2020,12/2023,Oct-2025,351.12,N.A.,299.22,63.00,2025-06,FR_JUNE_2025.pdf
979,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER FROM (DESIGN KM 10.670 TO KM 37.550) BETWEEN SHIL,NHIDCL,N24001314,,,,11-2020,12/2023,N.A.,525.68,N.A.,434.50,32.00,2025-06,FR_JUNE_2025.pdf
980,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER FROM (DESIGN KM 45.760 TO KM 63.530) BETWEEN SHIL,NHIDCL,N24001334,,,,11-2020,12/2023,N.A.,445.51,N.A.,214.34,30.30,2025-06,FR_JUNE_2025.pdf
981,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER / 4-LANING FROM (DESIGN KM 63.530 TO KM 71.520) B,NHIDCL,N24001335,,,,11-2020,12/2023,N.A.,284.21,N.A.,107.86,24.00,2025-06,FR_JUNE_2025.pdf
982,"BHAIRABI SAIRONG, NL, NEFR",NFR,N22000100,,,,4-2008,3/2025,N.A.,6527.45,5021.45,8066.76,97.00,2025-06,FR_JUNE_2025.pdf
983,UP-GRADATION TO 2-LANE WITH PAVED SHOULDERS OF NGOPA - PAWLRANG SECTION OF NH 102B OF AIZAWL - IMPHA,NHIDCL,N24001975,,,,9-2021,2/2025,N.A.,523.78,N.A.,379.40,95.31,2025-06,FR_JUNE_2025.pdf
984,KEIFANG - TUVAI PKG-3,NHIDCL,N24002027,,,,12-2021,2/2025,N.A.,500.88,N.A.,279.44,75.40,2025-06,FR_JUNE_2025.pdf
985,ZORINPUI- HMAWNGBU-LONGMASU (NH-502A),NHIDCL,N24002204,,,,2-2023,12/2026,N.A.,781.85,N.A.,33.77,3.00,2025-06,FR_JUNE_2025.pdf
986,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000857,,,,4-2017,4/2023,N.A.,519.09,N.A.,670.91,97.51,2025-06,FR_JUNE_2025.pdf
987,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000858,,,,4-2017,7/2023,N.A.,640.07,N.A.,1195.84,98.90,2025-06,FR_JUNE_2025.pdf
988,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000861,,,,4-2017,4/2023,N.A.,473.18,N.A.,541.04,95.00,2025-06,FR_JUNE_2025.pdf
989,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000862,,,,4-2017,4/2023,N.A.,537.82,N.A.,779.37,99.88,2025-06,FR_JUNE_2025.pdf
990,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000863,,,,4-2017,6/2023,N.A.,518.53,N.A.,849.68,97.90,2025-06,FR_JUNE_2025.pdf
991,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000864,,,,4-2017,4/2024,N.A.,404.29,N.A.,666.58,100.00,2025-06,FR_JUNE_2025.pdf
992,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000865,,,,4-2017,9/2023,N.A.,428.11,N.A.,613.69,99.82,2025-06,FR_JUNE_2025.pdf
993,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-I),NHIDCL,N24001278,,,,3-2020,7/2022,N.A.,206.88,N.A.,265.38,100.00,2025-06,FR_JUNE_2025.pdf
994,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-III),NHIDCL,N24001281,,,,3-2020,7/2022,N.A.,292.24,N.A.,294.78,94.40,2025-06,FR_JUNE_2025.pdf
995,DULTE- KWALKULH - CHAMPAI PKG.2,NHIDCL,N24001356,,,,3-2021,12/2022,Apr-2024,233.25,N.A.,172.09,100.00,2025-06,FR_JUNE_2025.pdf
996,TLABUNG - LUNGLEI PKG-A,NHIDCL,N24001358,,,,3-2021,12/2022,N.A.,698.44,N.A.,502.24,63.70,2025-06,FR_JUNE_2025.pdf
997,TLABUNG - LUNGLEI PKG-B,NHIDCL,N24001359,,,,3-2021,1/2023,N.A.,740.58,N.A.,373.89,61.00,2025-06,FR_JUNE_2025.pdf
998,NILJAI EXPANSION (DEEP) OC (3.5 MTY),WCL,N06000154,,,,8-2016,3/2022,Mar-2025,319.76,319.76,183.67,98.00,2025-06,FR_JUNE_2025.pdf
999,BINA KAKRI AMALGAMATION OCP 14 MTPA,NCL,N06000192,,,,8-2020,3/2024,N.A.,836.42,N.A.,778.71,89.08,2025-06,FR_JUNE_2025.pdf
1000,NATIONAL INDUSTRIAL CORRIDOR PROJECT,DMIC FOR DPIIT,N40000001,,,,9-2011,3/2027,Mar-2032,20084.00,26684.00,11262.06,50.99,2025-06,FR_JUNE_2025.pdf
1001,KOCHI-KOOTTANAD-BANGALORE- MANGALORE PIPELINE PHASE-II,GAIL,N16000285,,,,6-2009,12/2012,Dec-2025,2915.00,5909.00,4381.20,94.20,2025-06,FR_JUNE_2025.pdf
1002,SRIKAKULAM ANGUL PIPELINE PROJECT,GAIL,N16000388,,,,9-2019,7/2022,Dec-2025,2658.34,N.A.,2179.10,94.60,2025-06,FR_JUNE_2025.pdf
1003,DHAMRA HALDIA PIPELINE PROJECT,GAIL,N16000391,,,,3-2020,11/2022,Dec-2025,1030.65,N.A.,841.90,86.80,2025-06,FR_JUNE_2025.pdf
1004,MUMBAI NAGPUR JHARSUGUDA PIPELINE PROJECT,GAIL,N16000398,,,,6-2020,5/2023,Sep-2025,7844.25,N.A.,6412.20,95.10,2025-06,FR_JUNE_2025.pdf
1005,NORTH EAST GAS GRID,IGGL,N16000439,,,,11-2020,3/2024,Jul-2025,9265.00,9265.00,6270.19,84.51,2025-06,FR_JUNE_2025.pdf
1006,GURDASPUR JAMMU PIPELINE,GAIL,N16000531,,,,7-2023,7/2026,Jul-2026,521.92,521.92,153.20,35.50,2025-06,FR_JUNE_2025.pdf
1007,COMPREHENSIVE SCHEME FOR THE STRENGHTENING OF THE TRANSMISSION AND DISTRIBUTION SYSTEM IN A P,PGCIL,N18000249,,,,12-2014,12/2018,Mar-2025,4754.42,9129.32,7602.44,81.70,2025-06,FR_JUNE_2025.pdf
1008,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT (NERPSIP) FOR SIX (6) STATES,PGCIL,N18000250,,,,12-2014,12/2018,Mar-2025,5111.33,6700.00,5230.02,96.00,2025-06,FR_JUNE_2025.pdf
1009,TS FOR EVACUATION OF POWER FROM PAKALDUL HEP IN CHENAB VALLEY HEPS - LTA SYSTEM,PGCIL,N18000328,,,,2-2022,4/2025,N.A.,318.12,N.A.,254.50,98.00,2025-06,FR_JUNE_2025.pdf
1010,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,PGCIL,N18000330,,,,3-2022,12/2024,N.A.,288.71,N.A.,199.53,48.00,2025-06,FR_JUNE_2025.pdf
1011,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000331,,,,2-2022,9/2023,N.A.,359.47,N.A.,327.28,90.00,2025-06,FR_JUNE_2025.pdf
1012,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000332,,,,5-2022,11/2023,N.A.,1666.00,2218.00,2029.28,94.10,2025-06,FR_JUNE_2025.pdf
1013,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,PGCIL,N18000337,,,,7-2022,6/2023,N.A.,4546.26,N.A.,4091.67,93.00,2025-06,FR_JUNE_2025.pdf
1014,SYSTEM STRENGTHENING SCHEME FOR EASTERN AND NORTH EASTERN REGION,PGCIL,N18000343,,,,10-2022,10/2025,N.A.,307.87,N.A.,298.87,100.00,2025-06,FR_JUNE_2025.pdf
1015,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A PART B,PGCIL,N18000352,,,,3-2023,11/2024,N.A.,3546.94,N.A.,2837.55,94.00,2025-06,FR_JUNE_2025.pdf
1016,ER WR TRANSMISSION LIMITED,PGCIL,N18000353,,,,3-2023,3/2025,N.A.,281.16,N.A.,281.15,100.00,2025-06,FR_JUNE_2025.pdf
1017,"NANGALDAM-TALWARA(NL),NR",NR,220100188,,,,3-1981,12/2025,Jan-2027,2018.00,603.00,1629.74,75.00,2025-06,FR_JUNE_2025.pdf
1018,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",WCR,220100232,,,,9-1998,3/2027,N.A.,8913.94,63.57,2500.34,43.00,2025-06,FR_JUNE_2025.pdf
1019,CHHAPRA-BALLIA UP,NER,N22000134,,,,3-2013,2/2025,N.A.,941.05,954.00,1004.59,95.50,2025-06,FR_JUNE_2025.pdf
1020,CHOTTAUDEPUR-DHAR(NL),WR,N22000138,,,,4-2007,12/2026,Dec-2027,1793.65,1793.63,1641.84,59.00,2025-06,FR_JUNE_2025.pdf
1021,"DAHOD-INDORE VIA SARDARPUR, JHABUA AND DHAR (NL)",WR,N22000139,,,,4-2007,2/2027,Feb-2027,1942.00,1873.10,3119.79,59.00,2025-06,FR_JUNE_2025.pdf
1022,GWALIOR-SEOPURKALA WITH EXTENSION TO KOTA (GC),NCR,N22000148,,,,4-2011,3/2025,N.A.,2912.96,N.A.,1024.32,,2025-06,FR_JUNE_2025.pdf
1023,DHOLPUR-SIRMUTTRA WITH EXTENSION TO GANGAPURCITY AND MOHARI-TANTPUR AND TANPUR- BANSI PAHARPUR,NCR,N22000158,,,,4-2010,2/2019,N.A.,746.83,N.A.,391.89,39.00,2025-06,FR_JUNE_2025.pdf
1024,NEW BG LINE FROM BALURGHAT TO HILLY NFR,NFR,N22000206,,,,4-2010,3/2027,N.A.,1208.67,N.A.,425.12,8.00,2025-06,FR_JUNE_2025.pdf
1025,NEW BG LINE FROM JAGBANI TO BIRATNAGAR,NFR,N22000207,,,,4-2010,3/2022,Dec-2026,401.65,485.96,361.33,86.00,2025-06,FR_JUNE_2025.pdf
